Epoch,Validation F1 (%),Train Loss,Cls Loss,IoU Loss
1,51.8767,1.629,0.4113,0.6177
2,52.2658,1.4741,0.3593,0.5905
3,53.3946,1.3245,0.2866,0.5426
4,54.734,1.3168,0.2923,0.5413
5,54.707,1.2361,0.2679,0.5186
6,56.7005,1.1797,0.2336,0.5026
7,57.0978,1.1349,0.2264,0.4773
8,56.9522,1.1378,0.2251,0.4844
9,57.8504,1.1394,0.2337,0.4934
10,58.405,1.0925,0.2169,0.4746
11,56.5385,1.0364,0.2104,0.4527
12,58.6679,1.0363,0.212,0.4434
13,56.3449,0.9957,0.1751,0.4438
14,58.2297,1.0161,0.1953,0.4568
15,57.4319,0.9902,0.1842,0.4494
16,58.6289,0.9218,0.158,0.4195
17,57.427,0.9052,0.1562,0.409
18,57.4082,0.8557,0.1457,0.3916
19,59.6234,0.8653,0.1481,0.3933
20,59.7449,0.8239,0.1424,0.3832
21,59.1363,0.8111,0.1265,0.3783
22,59.8182,0.8104,0.1334,0.3812
23,59.4576,0.832,0.1279,0.3901
24,59.7443,0.8205,0.1401,0.379
25,59.6832,0.7834,0.1188,0.3688
